parcel_id,owner_name,area,ward,latitude,longitude
MH-KPG-2057,Sanjay Kulkarni,2396,11,19.883827,74.481884
MH-KPG-2058,Nilesh Joshi,1551,11,19.883881,74.482708
MH-KPG-2059,Dinesh More,883,10,19.883894,74.483502
MH-KPG-2060,Ashok NIKAM,2178,1,19.884003,74.484231
MH-KPG-2061,Seema Chavan,2109,1,19.884543,74.473764
MH-KPG-2062,Yogesh P.,1618,4,19.884643,74.474609
MH-KPG-2063,Deepak Thorat,1867,7,19.884692,74.475279
MH-KPG-2064,Ganesh Mali,948,5,19.884742,74.475905
MH-KPG-2065,Prakash Salunkhe,3251,6,19.884574,74.476676
MH-KPG-2066,Suresh Gaikwad,4513,3,19.884594,74.47739
MH-KPG-2067,Deepak Pawar,3578,9,19.884788,74.478247
MH-KPG-2068,Vijay Lokhande,2620,4,19.884507,74.478919
MH-KPG-2069,Amit Thorat,2510,1,,74.479817
MH-KPG-2070,Swati Lokhande,2064,9,19.884215,74.480359
MH-KPG-2071,Rahul More,1412,11,19.884658,74.481171
MH-KPG-2072,Neha Sable,3213,1,19.884454,74.482021
MH-KPG-2073,Manoj Waagh,2644,6,19.88456,74.482717
MH-KPG-2074,Deepak More,878,10,19.884576,74.483489
MH-KPG-2075,Ramesh Mali,2491,9,19.88471,74.484263
MH-KPG-2076,Amit Bhosale,1948,11,19.885362,74.473667
MH-KPG-2077,Seema PATIL,1522,5,19.885241,74.474461
MH-KPG-2078,Ashok Gaikwad,3626,5,19.885371,74.475391
MH-KPG-2079,Yogesh Kharat,3088,9,19.885385,74.476079
MH-KPG-2080,Rajesh Jadhav,3353,2,19.885335,74.476655
MH-KPG-2081,Rekha Gaikwad,3668,3,19.885298,74.477442
MH-KPG-2082,Nilesh Chavan,4728,8,,74.478184
MH-KPG-2083,Amit KULKARNI,4020,9,19.885442,74.478928
MH-KPG-2084,Seema More,3300,2,19.88545,74.479781
MH-KPG-2085,Prakash Lokhande,4322,7,19.885362,74.480497
MH-KPG-2086,Anita Sable,2886,5,19.884918,74.480724
MH-KPG-2087,Vishal Jadhav,4739,7,19.885339,74.481902
MH-KPG-2088,Meena Kharat,3857,12,19.885273,74.482764
MH-KPG-2089,Anita More,3420,1,19.885501,74.483513
MH-KPG-2090,Deepak Bhosale,4418,12,19.885081,74.483993
MH-KPG-2091,Vishal SABLE,2884,6,19.886229,74.473768
MH-KPG-2092,Manoj PATIL,3696,10,19.886092,74.474589
MH-KPG-2093,Mahesh Deshmukh,1974,6,19.886159,74.475373
MH-KPG-2094,Rajesh More,4654,4,19.88614,74.475902
MH-KPG-2095,Swati Salunkhe,3312,10,19.886016,74.476882
MH-KPG-2096,Sachin J.,3938,9,19.886263,74.477486
MH-KPG-2097,Amit Nikam,2669,2,19.886094,74.478367
MH-KPG-2098,Nilesh Bhosale,4273,9,19.886036,74.478928
MH-KPG-2099,Priya Patil,1143,10,19.886176,74.479718
MH-KPG-2100,Amit Patil,1300,5,19.886125,74.480487
MH-KPG-2101,Ganesh Shinde,2853,12,19.886152,74.481363
MH-KPG-2103,Rekha Khaarat,4046,5,19.886155,74.482948
MH-KPG-2104,Dinesh Deshmukh,2588,1,19.886058,74.483402
MH-KPG-2105,Nilesh Kharat,3416,9,19.886055,74.484223
MH-KPG-2106,Mahesh Shinde,3034,3,19.886948,74.473644
MH-KPG-2107,Vijay Kharat,4648,10,19.886902,74.474694
MH-KPG-2108,Rekha Nikam,3443,7,19.886849,74.47533
MH-KPG-2109,Deepak Salunkhe,2496,6,19.886918,74.476107
MH-KPG-2110,Swati B.,4680,2,19.886863,74.476694
MH-KPG-2111,Sachin Kharat,1273,9,19.886928,74.477711
MH-KPG-2112,Rajesh Patil,4739,2,19.886889,74.478163
MH-KPG-2113,Rajesh Deshmukh,1458,6,19.886882,74.479018
MH-KPG-2114,Seema Thorat,1988,11,19.887076,74.4799
MH-KPG-2115,Seema Wagh,4094,12,19.886807,74.480477
MH-KPG-2116,Ashok S.,3748,12,19.886758,74.481203
MH-KPG-2117,Rajesh Joshi,4682,12,19.8869,74.482096
MH-KPG-2118,S. Thorat,3812,7,19.886426,74.482869
MH-KPG-2119,Anita Joshi,3364,3,19.886703,74.483487
MH-KPG-2120,Amit Jadhav,2218,11,19.88679,74.484208
MH-KPG-2121,Ashok Thorat,868,10,19.887555,74.473742
MH-KPG-2122,Sanjay Lokhande,1339,12,19.887484,74.474383
MH-KPG-2123,Yogesh Wagh,2026,8,19.887795,74.475147
MH-KPG-2124,Sanjay Shinde,1014,2,19.887537,74.476147
MH-KPG-2125,Anita Wagh,2857,7,19.887857,74.476656
MH-KPG-2126,Mahesh Sable,3920,6,19.887596,74.477527
MH-KPG-2127,Rajesh Thorat,4653,11,19.887763,74.478171
MH-KPG-2128,Rahul Joshi,2338,5,19.887605,74.479062
MH-KPG-2129,Prakash Shinde,4306,4,19.887429,74.480085
MH-KPG-2130,Meena Joshi,4742,1,19.887614,74.48039
MH-KPG-2131,S. Gaikwad,4246,11,19.887606,74.481229
MH-KPG-2132,Seema SALUNKHE,2686,10,19.887644,74.481956
MH-KPG-2133,Neha Waagh,2122,1,19.887663,74.482831
MH-KPG-2134,Manoj Mali,4719,6,19.887637,74.483528
MH-KPG-2135,Mahesh Nikam,1719,6,19.887629,74.48425
MH-KPG-2136,Seema Kulkarni,2475,6,19.888766,74.473904
MH-KPG-2137,Seema Bhosale,1135,12,19.888367,74.474667
MH-KPG-2138,Rajesh Nikam,3985,2,19.888501,74.475281
MH-KPG-2140,Vishal Chavan,1185,3,19.88847,74.476771
MH-KPG-2141,Priya Gaikwad,1726,3,19.888413,74.47736
MH-KPG-2142,Rekha More,3049,11,19.888449,74.478286
MH-KPG-2143,Dinesh Jadhav,2983,12,19.888286,74.478962
MH-KPG-2144,Ashok Kulkarni,4018,1,,74.479754
MH-KPG-2145,,1905,8,19.888097,74.480027
MH-KPG-2147,Rekha Chavan,2614,3,19.888493,74.481795
MH-KPG-2148,Ganesh Chavan,4099,4,19.888356,74.482764
MH-KPG-2150,Dinesh Mali,996,6,19.888234,74.484276
MH-KPG-2201,Seema Salunkhe,1272,8,19.887192,74.477184
MH-KPG-2202,Suresh Kulkarni,3616,1,19.883014,74.47814
MH-KPG-2203,Prakash Patil,3216,2,19.881709,74.477465
MH-KPG-2204,Nilesh Thorat,3625,4,19.886576,74.481081
MH-KPG-2205,Mahesh More,3462,2,19.88773,74.479938
